Date,Open,High,Low,Close,Adj Close,Volume
1/2/2020,1250,1300,1240,1250,1249.403076,5746400
1/3/2020,1265,1265,1215,1215,1214.4198,3686800
1/6/2020,1220,1250,1165,1170,1169.441284,4538400
1/7/2020,1175,1215,1155,1160,1159.446045,3563800
1/8/2020,1175,1175,1115,1120,1119.465088,2778000
1/9/2020,1120,1160,1120,1130,1129.460327,3396400
1/10/2020,1150,1150,1120,1125,1124.462769,1937500
1/13/2020,1125,1130,1080,1100,1099.474731,3417900
1/14/2020,1100,1100,1045,1050,1049.498535,4649000
1/15/2020,1050,1050,995,1005,1004.520081,5302500
1/16/2020,990,1210,990,1205,1204.424561,45874500
1/17/2020,1205,1235,1100,1180,1179.436523,26599900
1/20/2020,1200,1200,1095,1120,1119.465088,8602800
1/21/2020,1120,1155,1100,1105,1104.47229,5649900
1/22/2020,1110,1110,1025,1025,1024.510498,5832900
1/23/2020,1025,1115,1010,1090,1089.479492,13993300
1/24/2020,1100,1135,1065,1070,1069.489014,19257100
1/27/2020,1100,1100,1020,1025,1024.510498,8451000
1/28/2020,1030,1045,1000,1025,1024.510498,5654800
1/29/2020,1030,1070,1025,1025,1024.510498,5338800
1/30/2020,1050,1050,1005,1005,1004.520081,3086300
1/31/2020,1015,1030,995,1000,999.522461,4329200
2/3/2020,995,1005,950,955,954.543945,3799900
2/4/2020,955,990,950,965,964.539185,3767300
2/5/2020,975,985,920,920,919.560669,4743500
2/6/2020,925,980,920,960,959.541565,8169100
2/7/2020,960,975,920,930,929.555847,4406700
2/10/2020,930,940,905,905,904.56781,3247500
2/11/2020,900,930,880,880,879.579773,2691500
2/12/2020,870,900,835,835,834.601257,3486300
2/13/2020,850,850,790,795,794.620361,4767800
2/14/2020,790,815,770,790,789.622742,4149000
2/17/2020,790,805,745,765,764.634644,2995000
2/18/2020,765,805,760,775,774.629883,4510400
2/19/2020,775,845,775,845,844.596497,10593200
2/20/2020,850,860,815,820,819.608398,4527200
2/21/2020,815,820,795,795,794.620361,2884800
2/24/2020,795,795,750,750,749.641846,3440600
2/25/2020,745,760,720,750,749.641846,2181700
2/26/2020,750,750,695,700,699.66571,3253000
2/27/2020,700,720,635,645,644.691956,3889300
2/28/2020,625,630,540,580,579.723022,7060700
3/2/2020,585,720,575,665,664.682434,20806200
3/3/2020,680,770,680,745,744.644226,25694400
3/4/2020,730,765,720,745,744.644226,13990100
3/5/2020,755,930,750,915,914.563049,41645300
3/6/2020,905,960,850,885,884.577393,35684600
3/9/2020,850,865,740,740,739.646606,14226700
3/10/2020,740,835,730,830,829.603638,17710700
3/11/2020,840,850,750,770,769.632263,11700400
3/12/2020,740,740,695,695,694.668091,8789300
3/13/2020,650,750,650,720,719.656189,8762900
3/16/2020,720,740,670,675,674.677673,7311300
3/17/2020,675,690,630,630,629.699158,6779200
3/18/2020,630,685,625,630,629.699158,6125900
3/19/2020,635,635,590,600,599.71344,5746300
3/20/2020,625,685,580,670,669.680054,13146500
3/23/2020,675,835,660,835,834.601257,32347300
3/24/2020,900,1040,870,1040,1039.503296,42897700
3/26/2020,1040,1300,1040,1300,1299.37915,48203500
3/27/2020,1425,1625,1210,1250,1249.403076,91743300
3/30/2020,1245,1245,1165,1165,1164.443604,3747500
3/31/2020,1160,1410,1085,1310,1309.37439,78916500
4/1/2020,1310,1430,1250,1285,1284.386353,53779300
4/2/2020,1270,1340,1205,1300,1299.37915,18349200
4/3/2020,1350,1390,1300,1305,1304.376831,15582100
4/6/2020,1305,1350,1295,1305,1304.376831,8900300
4/7/2020,1305,1330,1235,1275,1274.391113,10810900
4/8/2020,1275,1425,1245,1340,1339.360107,50147000
4/9/2020,1365,1455,1350,1370,1369.345703,45119500
4/13/2020,1370,1410,1320,1340,1339.360107,13635100
4/14/2020,1340,1375,1325,1375,1374.343384,8412000
4/15/2020,1400,1410,1280,1300,1299.37915,12773800
4/16/2020,1325,1340,1240,1240,1239.407837,9715500
4/17/2020,1270,1285,1250,1255,1254.400635,5553100
4/20/2020,1260,1285,1215,1265,1264.395874,7488300
4/21/2020,1270,1275,1180,1205,1204.424561,7643700
4/22/2020,1205,1330,1185,1310,1309.37439,30260000
4/23/2020,1330,1370,1290,1290,1289.383911,20099800
4/24/2020,1290,1305,1230,1245,1244.405396,6219500
4/27/2020,1250,1310,1240,1295,1294.381592,9913400
4/28/2020,1305,1355,1285,1345,1344.357666,22195800
4/29/2020,1350,1400,1325,1345,1344.357666,20290700
4/30/2020,1360,1375,1325,1330,1329.364868,7101500
5/4/2020,1280,1355,1280,1330,1329.364868,5882500
5/5/2020,1345,1355,1315,1330,1329.364868,5797100
5/6/2020,1330,1365,1320,1320,1319.369629,5580700
5/8/2020,1335,1335,1290,1295,1294.381592,4281500
5/11/2020,1320,1320,1270,1300,1299.37915,2206800
5/12/2020,1315,1315,1265,1265,1264.395874,2197100
5/13/2020,1280,1280,1205,1235,1234.410278,5340700
5/14/2020,1235,1235,1190,1195,1194.429321,3605500
5/15/2020,1200,1220,1185,1200,1199.42688,2352200
5/18/2020,1205,1230,1195,1220,1219.417358,2042900
5/19/2020,1240,1250,1215,1215,1214.4198,3843100
5/20/2020,1215,1215,1190,1200,1199.42688,2299000
5/26/2020,1200,1205,1130,1165,1164.443604,9248700
5/27/2020,1170,1210,1160,1180,1179.436523,15399100
5/28/2020,1195,1200,1165,1170,1169.441284,5036400
5/29/2020,1170,1195,1160,1160,1159.446045,5110700
6/2/2020,1160,1180,1160,1180,1179.436523,3155600
6/3/2020,1180,1190,1170,1185,1184.434082,4281600
6/4/2020,1190,1225,1185,1200,1199.42688,10982000
6/5/2020,1210,1225,1185,1195,1194.429321,5741200
6/8/2020,1200,1220,1190,1195,1194.429321,10503100
6/9/2020,1195,1335,1195,1310,1309.37439,62580700
6/10/2020,1315,1335,1220,1225,1224.415039,33662800
6/11/2020,1220,1225,1140,1140,1139.455566,13936500
6/12/2020,1100,1120,1065,1120,1119.465088,9894200
6/15/2020,1130,1160,1100,1110,1109.469971,5920600
6/16/2020,1135,1160,1120,1160,1159.446045,6041400
6/17/2020,1170,1200,1150,1160,1159.446045,5742400
6/18/2020,1165,1185,1160,1165,1164.443604,2876100
6/19/2020,1165,1190,1165,1170,1169.441284,3415500
6/22/2020,1175,1190,1155,1155,1154.448486,2601100
6/23/2020,1155,1160,1125,1140,1139.455566,2623000
6/24/2020,1140,1160,1135,1140,1139.455566,2044500
6/25/2020,1140,1145,1110,1130,1129.460327,1470700
6/26/2020,1130,1140,1120,1135,1134.458008,1837000
6/29/2020,1135,1165,1120,1125,1124.462769,3420900
6/30/2020,1130,1145,1120,1120,1119.465088,1863500
7/1/2020,1120,1135,1095,1100,1099.474731,2845500
7/2/2020,1125,1150,1110,1140,1139.455566,3540200
7/3/2020,1165,1170,1120,1120,1119.465088,2405600
7/6/2020,1120,1140,1120,1125,1124.462769,1431400
7/7/2020,1125,1135,1125,1130,1129.460327,1133100
7/8/2020,1125,1165,1125,1130,1129.460327,4321600
7/9/2020,1140,1240,1135,1210,1209.422119,23373400
7/10/2020,1225,1295,1200,1200,1199.42688,31185300
7/13/2020,1200,1235,1160,1195,1194.429321,6904900
7/14/2020,1200,1430,1180,1340,1339.360107,147451800
7/15/2020,1345,1380,1265,1270,1269.393555,28230100
7/16/2020,1280,1285,1235,1255,1254.400635,8026900
7/17/2020,1260,1325,1255,1280,1279.388672,16465800
7/20/2020,1290,1410,1270,1375,1374.343384,53455400
7/21/2020,1400,1715,1400,1715,1714.18103,241629500
7/22/2020,1790,2140,1780,2140,2138.978027,72274600
7/23/2020,2670,2670,2500,2670,2668.724854,17407800
7/24/2020,2800,3330,2490,2740,2738.691406,164485900
7/27/2020,2740,2820,2550,2550,2548.782227,15610000
7/28/2020,2480,2480,2380,2380,2378.863525,2546100
7/29/2020,2220,2220,2220,2220,2218.939941,3500400
7/30/2020,2200,2570,2070,2250,2248.925537,123136300
8/3/2020,2310,2380,2100,2110,2108.992432,39549400
8/4/2020,2150,2300,2100,2280,2278.911133,24014400
8/5/2020,2300,2850,2300,2850,2848.638916,195808900
8/6/2020,3000,3550,2950,3180,3178.481445,207503000
8/7/2020,3180,3180,3180,3180,3178.481445,0
8/10/2020,3100,3490,3040,3330,3328.409668,119870200
8/11/2020,3400,3480,3300,3350,3348.400146,46216900
8/12/2020,3400,3410,3120,3230,3228.45752,38048600
8/13/2020,3250,3330,3230,3260,3258.443115,17534700
8/14/2020,3290,3520,3220,3350,3348.400146,100978900
8/18/2020,3400,3450,3350,3370,3368.390625,18610300
8/19/2020,3370,3430,3270,3310,3308.419189,22852500
8/24/2020,3400,3590,3360,3440,3438.357178,50540800
8/25/2020,3450,3500,3350,3380,3378.385986,16842600
8/26/2020,3380,3480,3320,3350,3348.400146,20147200
8/27/2020,3400,3400,3300,3310,3308.419189,13141800
8/28/2020,3300,3360,3220,3240,3238.452637,12932000
8/31/2020,3250,3270,3030,3040,3038.54834,27417200
9/1/2020,3050,3200,2870,3090,3088.524414,22787400
9/2/2020,3100,3140,3010,3030,3028.552979,6358600
9/3/2020,3040,3050,2950,2960,2958.586426,8859500
9/4/2020,2950,3300,2870,3150,3148.495605,58010000
9/7/2020,3180,3200,3050,3070,3068.533936,8532700
9/8/2020,3100,3170,3060,3090,3088.524414,6121600
9/9/2020,3090,3090,2970,2980,2978.576904,7438000
9/10/2020,3010,3010,2780,2780,2778.672363,14436300
9/11/2020,2750,2880,2590,2820,2818.65332,15488300
9/14/2020,2850,3030,2850,2920,2918.605469,15943300
9/15/2020,2970,2980,2850,2880,2878.624756,8423300
9/16/2020,2930,3000,2900,2900,2898.61499,7534600
9/17/2020,2900,2950,2850,2860,2858.634277,3145100
9/18/2020,2860,2920,2840,2840,2838.643799,3329000
9/21/2020,2860,2890,2730,2740,2738.691406,3502000
9/22/2020,2710,2740,2560,2580,2578.767822,12164900
9/23/2020,2630,2650,2410,2450,2448.830078,8274300
9/24/2020,2450,2450,2300,2310,2308.896973,6132100
9/25/2020,2300,2880,2280,2880,2878.624756,58351900
9/28/2020,2970,3450,2970,3060,3058.538574,91408600
9/29/2020,3160,3240,2900,2900,2898.61499,28002300
9/30/2020,2900,2970,2810,2890,2888.619873,10312400
10/1/2020,2920,3190,2920,3180,3178.481445,39087700
10/2/2020,3230,3270,2980,3040,3038.54834,23650700
10/5/2020,3090,3160,3060,3090,3088.524414,17077700
10/6/2020,3150,3160,3080,3090,3088.524414,7625100
10/7/2020,3100,3130,3060,3090,3088.524414,6703500
10/8/2020,3150,3150,3080,3080,3078.529053,5226300
10/9/2020,3100,3100,3060,3080,3078.529053,3318800
10/12/2020,3100,3340,3080,3270,3268.438477,62582000
10/13/2020,3270,3350,3190,3260,3258.443115,31430400
10/14/2020,3260,3790,3210,3410,3408.371582,142661000
10/15/2020,3410,3540,3300,3320,3318.414551,46141700
10/16/2020,3380,3480,3340,3340,3338.405029,29941900
